Date,State,Deaths,ICU Hospitalizations,Positive Viral Cases,Positive Increase,Total Test Results,Test Increase
2021-03-07,NY,59,999.0,0,6789,39695100,227768
2021-03-07,CA,258,1159.0,3501394,3816,49646014,133186
2021-03-06,NY,79,1012.0,0,7647,39467332,273132
2021-03-06,CA,418,1221.0,3497578,4452,49512828,218325
2021-03-05,NY,95,1030.0,0,8956,39194200,296935
2021-03-05,CA,400,1236.0,3493126,4659,49294503,146818
2021-03-04,NY,61,1043.0,0,7593,38897265,270089
2021-03-04,CA,273,1327.0,3488467,3504,49147685,119637
2021-03-03,NY,75,1047.0,0,7704,38627176,218069
2021-03-03,CA,278,1403.0,3484963,3352,49028048,130858
2021-03-02,NY,83,1076.0,0,5800,38409107,128034
2021-03-02,CA,303,1452.0,3481611,2533,48897190,184514
2021-03-01,NY,80,1065.0,0,6235,38281073,174158
2021-03-01,CA,215,1518.0,3479078,3516,48712676,243570
2021-02-28,NY,90,1083.0,0,7580,38106915,273720
2021-02-28,CA,158,1585.0,3475562,4685,48469106,249616
2021-02-27,NY,86,1121.0,0,8141,37833195,285307
2021-02-27,CA,439,1651.0,3470877,5151,48219490,223914
2021-02-26,NY,94,1132.0,0,8204,37547888,291189
2021-02-26,CA,391,1725.0,3465726,5400,47995576,181416
2021-02-25,NY,92,1124.0,0,8746,37256699,278942
2021-02-25,CA,1114,1783.0,3460326,4965,47814160,161988
2021-02-24,NY,104,1154.0,0,6189,36977757,216813
2021-02-24,CA,314,1842.0,3455361,5303,47652172,138805
2021-02-23,NY,90,1176.0,0,6654,36760944,157333
2021-02-23,CA,225,1898.0,3450058,3447,47513367,192565
2021-02-22,NY,90,1148.0,0,6146,36603611,142019
2021-02-22,CA,233,2010.0,3446611,4665,47320802,277454
2021-02-21,NY,75,1162.0,0,6610,36461592,221157
2021-02-21,CA,280,2073.0,3441946,6760,47043348,229472
2021-02-20,NY,101,1162.0,0,7692,36240435,251645
2021-02-20,CA,481,2168.0,3435186,6668,46813876,192222
2021-02-19,NY,119,1199.0,0,8710,35988790,249248
2021-02-19,CA,420,2291.0,3428518,6798,46621654,117399
2021-02-18,NY,116,1258.0,0,6794,35739542,215731
2021-02-18,CA,417,2427.0,3421720,5573,46504255,119323
2021-02-17,NY,112,1273.0,0,6092,35523811,169963
2021-02-17,CA,400,2533.0,3416147,4090,46384932,157207
2021-02-16,NY,107,1271.0,0,6753,35353848,136392
2021-02-16,CA,64,2604.0,3412057,5692,46227725,263598
2021-02-15,NY,103,1270.0,0,6365,35217456,180504
2021-02-15,CA,200,2650.0,3406365,6487,45964127,260910
2021-02-14,NY,109,1285.0,0,8316,35036952,234708
2021-02-14,CA,408,2733.0,3399878,8842,45703217,291580
2021-02-13,NY,127,1328.0,0,8763,34802244,253563
2021-02-13,CA,433,2808.0,3391036,9421,45411637,286196
2021-02-12,NY,139,1358.0,0,8404,34548681,237134
2021-02-12,CA,546,2930.0,3381615,10059,45125441,201460
2021-02-11,NY,124,1402.0,0,10099,34311547,285499
2021-02-11,CA,461,2996.0,3371556,8575,44923981,153380
2021-02-10,NY,138,1423.0,0,7101,34026048,176750
2021-02-10,CA,518,3127.0,3362981,8390,44770601,187297
2021-02-09,NY,142,1412.0,0,7866,33849298,153648
2021-02-09,CA,327,3264.0,3354591,8251,44583304,259754
2021-02-08,NY,115,1454.0,0,8448,33695650,197183
2021-02-08,CA,208,3313.0,3346340,10414,44323550,329228
2021-02-07,NY,145,1459.0,0,10025,33498467,250892
2021-02-07,CA,295,3339.0,3335926,15064,43994322,275167
2021-02-06,NY,159,1481.0,0,11252,33247575,261285
2021-02-06,CA,623,3479.0,3320862,12394,43719155,286051
2021-02-05,NY,153,1516.0,0,8777,32986290,203627
2021-02-05,CA,558,3527.0,3308468,14021,43433104,197777
2021-02-04,NY,136,1506.0,0,7414,32782663,169186
2021-02-04,CA,655,3756.0,3294447,13176,43235327,168094
2021-02-03,NY,165,1522.0,0,5925,32613477,126489
2021-02-03,CA,481,3772.0,3281271,10501,43067233,215342
2021-02-02,NY,147,1503.0,0,8215,32486988,150199
2021-02-02,CA,422,3894.0,3270770,12064,42851891,282698
2021-02-01,NY,141,1500.0,0,8508,32336789,175038
2021-02-01,CA,211,3949.0,3258706,15358,42569193,290175
2021-01-31,NY,142,1534.0,0,10793,32161751,243066
2021-01-31,CA,481,4047.0,3243348,18974,42279018,298562
2021-01-30,NY,143,1551.0,0,12804,31918685,269350
2021-01-30,CA,638,4042.0,3224374,18427,41980456,303051
2021-01-29,NY,151,1543.0,0,12579,31649335,270518
2021-01-29,CA,617,4232.0,3205947,19337,41677405,206771
2021-01-28,NY,163,1584.0,0,13398,31378817,250668
2021-01-28,CA,737,4283.0,3186610,16696,41470634,218152
2021-01-27,NY,172,1558.0,0,11028,31128149,202661
2021-01-27,CA,697,4375.0,3169914,16728,41252482,241712
2021-01-26,NY,165,1544.0,0,11064,30925488,162938
2021-01-26,CA,409,4384.0,3153186,17028,41010770,321862
2021-01-25,NY,173,1522.0,0,12003,30762550,219538
2021-01-25,CA,328,4475.0,3136158,27007,40688908,403193
2021-01-24,NY,162,1527.0,0,12720,30543012,249955
2021-01-24,CA,429,4542.0,3109151,24111,40285715,315596
2021-01-23,NY,144,1562.0,0,13786,30293057,262106
2021-01-23,CA,593,4641.0,3085040,22972,39970119,244280
2021-01-22,NY,169,1546.0,0,15144,30030951,268001
2021-01-22,CA,764,4718.0,3062068,23024,39725839,213083
2021-01-21,NY,179,1560.0,0,13886,29762950,224569
2021-01-21,CA,571,4746.0,3039044,19673,39512756,224393
2021-01-20,NY,191,1621.0,0,13364,29538381,195409
2021-01-20,CA,694,4758.0,3019371,22403,39288363,263820
2021-01-19,NY,172,1614.0,0,12512,29342972,177269
2021-01-19,CA,146,4793.0,2996968,23794,39024543,368787
2021-01-18,NY,155,1523.0,0,12185,29165703,186205
2021-01-18,CA,201,4826.0,2973174,30699,38655756,427141
2021-01-17,NY,172,1550.0,0,13842,28979498,246507
2021-01-17,CA,432,4820.0,2942475,42229,38228615,426360
2021-01-16,NY,159,1580.0,0,15998,28732991,277286
2021-01-16,CA,669,4846.0,2900246,40622,37802255,352719
2021-01-15,NY,187,1570.0,0,19942,28455705,324671
2021-01-15,CA,637,4833.0,2859624,42655,37449536,319170
2021-01-14,NY,204,1536.0,0,13661,28131034,212589
2021-01-14,CA,552,4878.0,2816969,35930,37130366,287715
2021-01-13,NY,168,1501.0,0,14577,27918445,196868
2021-01-13,CA,589,4929.0,2781039,33751,36842651,334267
2021-01-12,NY,166,1492.0,0,15214,27721577,196671
2021-01-12,CA,548,4962.0,2747288,36487,36508384,337856
2021-01-11,NY,169,1426.0,0,13714,27524906,203904
2021-01-11,CA,264,4971.0,2710801,39839,36170528,343704
2021-01-10,NY,153,1436.0,0,15355,27321002,246836
2021-01-10,CA,468,4965.0,2670962,49685,35826824,473076
2021-01-09,NY,190,1428.0,0,16943,27074166,258031
2021-01-09,CA,695,4939.0,2621277,52636,35353748,326418
2021-01-08,NY,165,1475.0,0,18832,26816135,243903
2021-01-08,CA,493,4905.0,2568641,50030,35027330,266975
2021-01-07,NY,199,1424.0,0,17636,26572232,238550
2021-01-07,CA,583,4811.0,2518611,36385,34760355,211734
2021-01-06,NY,163,1408.0,0,16648,26333682,197816
2021-01-06,CA,459,4731.0,2482226,29892,34548621,217837
2021-01-05,NY,154,1392.0,0,12666,26135866,152402
2021-01-05,CA,368,4734.0,2452334,31440,34330784,203771
2021-01-04,NY,172,1357.0,0,11209,25983464,134360
2021-01-04,CA,97,4671.0,2420894,29633,34127013,314227
2021-01-03,NY,139,1344.0,0,11368,25849104,142345
2021-01-03,CA,181,4613.0,2391261,45352,33812786,421344
2021-01-02,NY,129,1321.0,0,15074,25706759,202446
2021-01-02,CA,386,4606.0,2345909,53341,33391442,333131
2021-01-01,NY,168,1292.0,0,16497,25504313,219253
2021-01-01,CA,585,4618.0,2292568,47189,33058311,202829
2020-12-31,NY,135,1276.0,0,16802,25285060,216587
2020-12-31,CA,428,4518.0,2245379,27237,32855482,232406
2020-12-30,NY,149,1250.0,0,13422,25068473,154949
2020-12-30,CA,432,4478.0,2218142,30921,32623076,248605
2020-12-29,NY,127,1224.0,0,11438,24913524,160164
2020-12-29,CA,242,4390.0,2187221,31245,32374471,245955
2020-12-28,NY,118,1222.0,0,10407,24753360,124866
2020-12-28,CA,64,4360.0,2155976,33170,32128516,301820
2020-12-27,NY,115,1187.0,0,7623,24628494,130299
2020-12-27,CA,237,4214.0,2122806,50141,31826696,380154
2020-12-26,NY,126,1129.0,0,10806,24498195,201442
2020-12-26,CA,36,4131.0,2072665,30375,31446542,379681
2020-12-25,NY,121,1148.0,0,12446,24296753,226560
2020-12-25,CA,312,4035.0,2042290,39144,31066861,297112
2020-12-24,NY,133,1160.0,0,12568,24070193,226296
2020-12-24,CA,351,4069.0,2003146,39070,30769749,301189
2020-12-23,NY,166,1166.0,0,11937,23843897,204361
2020-12-23,CA,361,3955.0,1964076,39069,30468560,278378
2020-12-22,NY,141,1126.0,0,9716,23639536,164868
2020-12-22,CA,247,3861.0,1925007,32659,30190182,329778
2020-12-21,NY,111,1095.0,0,9007,23474668,156510
2020-12-21,CA,83,3756.0,1892348,37892,29860404,395234
2020-12-20,NY,124,1045.0,0,9957,23318158,197251
2020-12-20,CA,161,3710.0,1854456,46474,29465170,352921
2020-12-19,NY,130,1088.0,0,9919,23120907,191476
2020-12-19,CA,272,3620.0,1807982,43608,29112249,371222
2020-12-18,NY,122,1068.0,0,12697,22929431,249385
2020-12-18,CA,300,3553.0,1764374,41012,28741027,284669
2020-12-17,NY,122,1095.0,0,10914,22680046,202772
2020-12-17,CA,379,3392.0,1723362,52281,28456358,306768
2020-12-16,NY,98,1098.0,0,9998,22477274,160947
2020-12-16,CA,293,3297.0,1671081,53711,28149590,304524
2020-12-15,NY,132,1065.0,0,10353,22316327,194188
2020-12-15,CA,142,3193.0,1617370,32326,27845066,293027
2020-12-14,NY,85,1040.0,0,9044,22122139,159844
2020-12-14,CA,77,3078.0,1585044,33278,27552039,356452
2020-12-13,NY,110,1009.0,0,10194,21962295,205250
2020-12-13,CA,122,2937.0,1551766,30334,27195587,309457
2020-12-12,NY,88,1029.0,0,11129,21757045,242927
2020-12-12,CA,225,2866.0,1521432,35729,26886130,313787
2020-12-11,NY,89,1007.0,0,10595,21514118,212672
2020-12-11,CA,159,2773.0,1485703,35468,26572343,248011
2020-12-10,NY,94,994.0,0,10178,21301446,197406
2020-12-10,CA,220,2710.0,1450235,29677,26324332,282261
2020-12-09,NY,97,952.0,0,10600,21104040,194595
2020-12-09,CA,196,2627.0,1420558,30851,26042071,252296
2020-12-08,NY,75,906.0,0,9335,20909445,162464
2020-12-08,CA,112,2526.0,1389707,23272,25789775,296424
2020-12-07,NY,83,872.0,0,7302,20746981,152287
2020-12-07,CA,59,2470.0,1366435,24735,25493351,298305
2020-12-06,NY,60,850.0,0,9702,20594694,205832
2020-12-06,CA,85,2393.0,1341700,30075,25195046,293071
2020-12-05,NY,72,825.0,0,10761,20388862,215401
2020-12-05,CA,209,2265.0,1311625,25068,24901975,226497
2020-12-04,NY,62,795.0,0,11271,20173461,208297
2020-12-04,CA,145,2248.0,1286557,22018,24675478,200836
2020-12-03,NY,66,783.0,0,9855,19965164,203440
2020-12-03,CA,113,2147.0,1264539,18591,24474642,175516
2020-12-02,NY,73,742.0,0,8973,19761724,193551
2020-12-02,CA,113,2121.0,1245948,20759,24299126,137813
2020-12-01,NY,69,718.0,0,7285,19568173,146675
2020-12-01,CA,70,2000.0,1225189,12221,24161313,136142
2020-11-30,NY,57,681.0,0,6819,19421498,148974
2020-11-30,CA,20,1919.0,1212968,14034,24025171,217670
2020-11-29,NY,58,667.0,0,6723,19272524,157320
2020-11-29,CA,32,1823.0,1198934,15614,23807501,234319
2020-11-28,NY,44,654.0,0,6063,19115204,152355
2020-11-28,CA,56,1763.0,1183320,11996,23573182,257264
2020-11-27,NY,39,636.0,0,8176,18962849,219442
2020-11-27,CA,54,1726.0,1171324,12635,23315918,219173
2020-11-26,NY,67,628.0,0,6933,18743407,217721
2020-11-26,CA,104,1617.0,1158689,14640,23096745,186394
2020-11-25,NY,41,596.0,0,6265,18525686,173085
2020-11-25,CA,106,1551.0,1144049,18350,22910351,168988
2020-11-24,NY,51,559.0,0,4881,18352601,164761
2020-11-24,CA,43,1514.0,1125699,15329,22741363,283819
2020-11-23,NY,33,545.0,0,5906,18187840,191489
2020-11-23,CA,50,1455.0,1110370,8337,22457544,220235
2020-11-22,NY,31,502.0,0,5392,17996351,196610
2020-11-22,CA,33,1390.0,1102033,14319,22237309,265477
2020-11-21,NY,34,467.0,0,5972,17799741,207907
2020-11-21,CA,86,1332.0,1087714,15442,21971832,241281
2020-11-20,NY,35,445.0,0,5468,17591834,205466
2020-11-20,CA,91,1332.0,1072272,13005,21730551,178023
2020-11-19,NY,32,437.0,0,5310,17386368,195239
2020-11-19,CA,106,1253.0,1059267,11478,21552528,133985
2020-11-18,NY,36,423.0,0,5294,17191129,154434
2020-11-18,CA,61,1258.0,1047789,9811,21418543,159467
2020-11-17,NY,30,408.0,0,5088,17036695,159852
2020-11-17,CA,36,1206.0,1037978,8743,21259076,190182
2020-11-16,NY,26,391.0,0,3490,16876843,124565
2020-11-16,CA,10,1131.0,1029235,9890,21068894,202109
2020-11-15,NY,30,378.0,0,3649,16752278,133202
2020-11-15,CA,35,1094.0,1019345,10968,20866785,195189
2020-11-14,NY,24,367.0,0,5388,16619076,184162
2020-11-14,CA,81,1024.0,1008377,9875,20671596,193096
2020-11-13,NY,24,331.0,0,5401,16434914,203721
2020-11-13,CA,29,1031.0,998502,6893,20478500,136428
2020-11-12,NY,29,308.0,0,4797,16231193,162627
2020-11-12,CA,38,1010.0,991609,6927,20342072,119979
2020-11-11,NY,21,304.0,0,4820,16068566,164300
2020-11-11,CA,69,1006.0,984682,7464,20222093,127452
2020-11-10,NY,32,296.0,0,3965,15904266,128036
2020-11-10,CA,24,984.0,977218,5367,20094641,176162
2020-11-09,NY,26,282.0,0,3144,15776230,111416
2020-11-09,CA,14,941.0,971851,7212,19918479,193851
2020-11-08,NY,19,295.0,0,3428,15664814,145642
2020-11-08,CA,24,910.0,964639,7682,19724628,159477
2020-11-07,NY,18,308.0,0,3587,15519172,163291
2020-11-07,CA,73,901.0,956957,5863,19565151,168802
2020-11-06,NY,18,285.0,0,3209,15355881,160705
2020-11-06,CA,51,923.0,951094,6518,19396349,129986
2020-11-05,NY,24,268.0,0,2997,15195176,161019
2020-11-05,CA,63,922.0,944576,4566,19266363,85351
2020-11-04,NY,15,284.0,0,2126,15034157,133534
2020-11-04,CA,66,901.0,940010,5338,19181012,106091
2020-11-03,NY,15,268.0,0,2321,14900623,127869
2020-11-03,CA,14,840.0,934672,4044,19074921,162420
2020-11-02,NY,14,276.0,0,1633,14772754,96101
2020-11-02,CA,5,823.0,930628,4094,18912501,169186
2020-11-01,NY,17,259.0,0,2255,14676653,148935
2020-11-01,CA,41,791.0,926534,4529,18743315,140998
2020-10-31,NY,3,248.0,0,2049,14527718,136962
2020-10-31,CA,55,771.0,922005,5087,18602317,157794
2020-10-30,NY,12,243.0,0,2255,14390756,146885
2020-10-30,CA,30,772.0,916918,4014,18444523,120752
2020-10-29,NY,19,237.0,0,2499,14243871,168353
2020-10-29,CA,66,768.0,912904,4191,18323771,100175
2020-10-28,NY,15,236.0,0,2031,14075518,129660
2020-10-28,CA,75,770.0,908713,4515,18223596,96547
2020-10-27,NY,16,233.0,0,1991,13945858,111618
2020-10-27,CA,43,774.0,904198,3188,18127049,144220
2020-10-26,NY,12,237.0,0,1191,13834240,82117
2020-10-26,CA,12,735.0,901010,2981,17982829,194944
2020-10-25,NY,12,227.0,0,1632,13752123,120830
2020-10-25,CA,34,722.0,898029,5219,17787885,178706
2020-10-24,NY,13,231.0,0,2061,13631293,156940
2020-10-24,CA,49,744.0,892810,5945,17609179,125886
2020-10-23,NY,11,223.0,0,1637,13474353,141508
2020-10-23,CA,73,754.0,886865,6141,17483293,124523
2020-10-22,NY,15,209.0,0,1628,13332845,135341
2020-10-22,CA,162,758.0,880724,2940,17358770,65631
2020-10-21,NY,7,201.0,0,2026,13197504,124789
2020-10-21,CA,35,763.0,877784,3707,17293139,104069
2020-10-20,NY,13,194.0,0,1201,13072715,90540
2020-10-20,CA,22,781.0,874077,3286,17189070,146662
2020-10-19,NY,15,198.0,0,998,12982175,82009
2020-10-19,CA,27,758.0,870791,3474,17042408,150346
2020-10-18,NY,7,200.0,0,1390,12900166,128763
2020-10-18,CA,44,727.0,867317,2862,16892062,135351
2020-10-17,NY,9,195.0,0,1784,12771403,159972
2020-10-17,CA,69,743.0,864455,2979,16756711,134755
2020-10-16,NY,10,200.0,0,1707,12611431,136039
2020-10-16,CA,73,713.0,861476,3075,16621956,104144
2020-10-15,NY,13,197.0,0,1460,12475392,133212
2020-10-15,CA,118,706.0,858401,3329,16517812,92325
2020-10-14,NY,7,201.0,0,1232,12342180,111744
2020-10-14,CA,58,753.0,855072,2666,16425487,91770
2020-10-13,NY,11,181.0,0,1393,12230436,99070
2020-10-13,CA,9,748.0,852406,2378,16333717,142376
2020-10-12,NY,13,185.0,0,1029,12131366,91793
2020-10-12,CA,8,736.0,850028,3449,16191341,144337
2020-10-11,NY,5,186.0,0,1143,12039573,118254
2020-10-11,CA,64,735.0,846579,3803,16047004,168559
2020-10-10,NY,8,179.0,0,1447,11921319,134579
2020-10-10,CA,72,732.0,842776,4170,15878445,141948
2020-10-09,NY,6,168.0,0,1592,11786740,139300
2020-10-09,CA,67,742.0,838606,3806,15736497,112874
2020-10-08,NY,10,172.0,0,1836,11647440,145811
2020-10-08,CA,133,754.0,834800,3575,15623623,66917
2020-10-07,NY,9,176.0,0,1360,11501629,108246
2020-10-07,CA,51,797.0,831225,2764,15556706,126285
2020-10-06,NY,9,158.0,0,1393,11393383,96359
2020-10-06,CA,28,809.0,828461,1677,15430421,128740
2020-10-05,NY,8,149.0,0,933,11297024,76404
2020-10-05,CA,29,805.0,826784,3055,15301681,141394
2020-10-04,NY,14,138.0,0,1222,11220620,110329
2020-10-04,CA,46,787.0,823729,4293,15160287,161399
2020-10-03,NY,8,149.0,0,1731,11110291,134267
2020-10-03,CA,88,787.0,819436,2159,14998888,130457
2020-10-02,NY,7,146.0,0,1598,10976024,119493
2020-10-02,CA,98,796.0,817277,3590,14868431,96580
2020-10-01,NY,11,141.0,0,1382,10856531,109218
2020-10-01,CA,96,817.0,813687,3062,14771851,66649
2020-09-30,NY,9,144.0,0,1000,10747313,97960
2020-09-30,CA,152,830.0,810625,3200,14705202,91657
2020-09-29,NY,2,147.0,0,1189,10649353,88231
2020-09-29,CA,32,828.0,807425,2162,14613545,128693
2020-09-28,NY,12,135.0,0,834,10561122,52936
2020-09-28,CA,21,831.0,805263,2955,14484852,151354
2020-09-27,NY,6,155.0,0,866,10508186,84770
2020-09-27,CA,55,892.0,802308,4071,14333498,150768
2020-09-26,NY,4,164.0,0,1005,10423416,99953
2020-09-26,CA,134,862.0,798237,4197,14182730,130483
2020-09-25,NY,7,154.0,0,908,10323463,94818
2020-09-25,CA,84,899.0,794040,3400,14052247,99390
2020-09-24,NY,2,145.0,0,955,10228645,92953
2020-09-24,CA,110,914.0,790640,3170,13952857,73434
2020-09-23,NY,5,141.0,0,665,10135692,70930
2020-09-23,CA,133,905.0,787470,3146,13879423,75368
2020-09-22,NY,4,133.0,0,754,10064762,83997
2020-09-22,CA,53,923.0,784324,2630,13804055,131273
2020-09-21,NY,1,134.0,0,573,9980765,58319
2020-09-21,CA,31,960.0,781694,3294,13672782,149624
2020-09-20,NY,2,132.0,0,862,9922446,100355
2020-09-20,CA,75,925.0,778400,4265,13523158,179272
2020-09-19,NY,2,144.0,0,986,9822091,110444
2020-09-19,CA,100,970.0,774135,4304,13343886,166700
2020-09-18,NY,10,141.0,0,790,9711647,89727
2020-09-18,CA,91,965.0,769831,3630,13177186,97149
2020-09-17,NY,3,135.0,0,896,9621920,91504
2020-09-17,CA,106,997.0,766201,3238,13080037,79515
2020-09-16,NY,5,138.0,0,652,9530416,75087
2020-09-16,CA,164,1032.0,762963,2950,13000522,72352
2020-09-15,NY,11,144.0,0,766,9455329,73678
2020-09-15,CA,66,1044.0,760013,2235,12928170,121981
2020-09-14,NY,4,143.0,0,583,9381651,63358
2020-09-14,CA,56,1040.0,757778,2855,12806189,116173
2020-09-13,NY,6,131.0,0,725,9318293,72668
