Date,State,Deaths,ICU Hospitalizations,Positive Viral Cases,Positive Increase,Total Test Results,Test Increase
2020-09-13,CA,78,1056.0,754923,4625,12690016,133049
2020-09-12,NY,2,127.0,0,849,9245625,102925
2020-09-12,CA,162,1120.0,750298,4107,12556967,105307
2020-09-11,NY,5,120.0,0,880,9142700,89722
2020-09-11,CA,111,1172.0,746191,3326,12451660,61669
2020-09-10,NY,7,120.0,0,757,9052978,76813
2020-09-10,CA,137,1184.0,742865,3338,12389991,46194
2020-09-09,NY,3,121.0,0,576,8976165,63230
2020-09-09,CA,83,1233.0,739527,1616,12343797,75849
2020-09-08,NY,6,114.0,0,557,8912935,57826
2020-09-08,CA,32,1217.0,737911,2676,12267948,109656
2020-09-07,NY,2,115.0,0,520,8855109,58865
2020-09-07,CA,17,1244.0,735235,3091,12158292,111101
2020-09-06,NY,9,119.0,0,729,8796244,85630
2020-09-06,CA,66,1201.0,732144,4905,12047191,130868
2020-09-05,NY,2,115.0,0,801,8710614,99761
2020-09-05,CA,153,1242.0,727239,4956,11916323,119353
2020-09-04,NY,5,116.0,0,864,8610853,93395
2020-09-04,CA,163,1235.0,722283,5106,11796970,133046
2020-09-03,NY,7,117.0,0,889,8517458,88981
2020-09-03,CA,164,1270.0,717177,5125,11663924,83554
2020-09-02,NY,5,117.0,0,708,8428477,88447
2020-09-02,CA,145,1339.0,712052,4255,11580370,109674
2020-09-01,NY,3,109.0,0,754,8340030,76997
2020-09-01,CA,85,1352.0,707797,3712,11470696,97391
2020-08-31,NY,1,109.0,0,656,8263033,66241
2020-08-31,CA,28,1346.0,704085,4176,11373305,141476
2020-08-30,NY,8,112.0,0,698,8196792,100022
2020-08-30,CA,71,1396.0,699909,6070,11231829,122199
2020-08-29,NY,7,116.0,0,635,8096770,93873
2020-08-29,CA,144,1411.0,693839,4981,11109630,98993
2020-08-28,NY,3,122.0,0,636,8002897,97826
2020-08-28,CA,140,1477.0,688858,5329,11010637,92222
2020-08-27,NY,4,126.0,0,791,7905071,83437
2020-08-27,CA,143,1492.0,683529,4430,10918415,85658
2020-08-26,NY,8,136.0,0,566,7821634,71189
2020-08-26,CA,150,1507.0,679099,6004,10832757,70251
2020-08-25,NY,2,133.0,0,629,7750445,67255
2020-08-25,CA,105,1540.0,673095,4480,10762506,110019
2020-08-24,NY,7,120.0,0,408,7683190,62031
2020-08-24,CA,18,1549.0,668615,4946,10652487,111456
2020-08-23,NY,6,110.0,0,572,7621159,74043
2020-08-23,CA,146,1582.0,663669,6777,10541031,104679
2020-08-22,NY,4,116.0,0,653,7547116,94849
2020-08-22,CA,167,1675.0,656892,6556,10436352,106980
2020-08-21,NY,3,119.0,0,709,7452267,98880
2020-08-21,CA,135,1706.0,650336,5585,10329372,101406
2020-08-20,NY,5,120.0,0,601,7353387,80984
2020-08-20,CA,163,1707.0,644751,5920,10227966,87283
2020-08-19,NY,6,131.0,0,631,7272403,80425
2020-08-19,CA,181,1761.0,638831,6164,10140683,91644
2020-08-18,NY,8,126.0,0,655,7191978,66891
2020-08-18,CA,100,1801.0,632667,4636,10049039,115259
2020-08-17,NY,6,133.0,0,408,7125087,56891
2020-08-17,CA,18,1811.0,628031,6469,9933780,135645
2020-08-16,NY,6,128.0,0,607,7068196,77692
2020-08-16,CA,77,1820.0,621562,7873,9798135,117024
2020-08-15,NY,12,120.0,0,734,6990504,88668
2020-08-15,CA,151,1812.0,613689,12614,9681111,124513
2020-08-14,NY,4,127.0,0,727,6901836,85455
2020-08-14,CA,188,1850.0,601075,7934,9556598,111105
2020-08-13,NY,10,124.0,0,737,6816381,87900
2020-08-13,CA,160,1826.0,593141,7085,9445493,142026
2020-08-12,NY,7,123.0,0,700,6728481,87776
2020-08-12,CA,180,1873.0,586056,11645,9303467,117188
2020-08-11,NY,7,120.0,0,667,6640705,77059
2020-08-11,CA,109,1885.0,574411,12500,9186279,187926
2020-08-10,NY,2,127.0,0,476,6563646,54002
2020-08-10,CA,66,1879.0,561911,7751,8998353,172234
2020-08-09,NY,7,131.0,0,515,6509644,65812
2020-08-09,CA,104,1891.0,554160,8373,8826119,118592
2020-08-08,NY,5,133.0,0,703,6443832,74857
2020-08-08,CA,178,2038.0,545787,7371,8707527,110645
2020-08-07,NY,5,139.0,0,714,6368975,70170
2020-08-07,CA,142,1978.0,538416,8436,8596882,96419
2020-08-06,NY,6,132.0,0,703,6298805,72370
2020-08-06,CA,166,2026.0,529980,5258,8500463,91063
2020-08-05,NY,4,134.0,0,636,6226435,72668
2020-08-05,CA,202,2005.0,524722,5295,8409400,103687
2020-08-04,NY,3,139.0,0,746,6153767,70993
2020-08-04,CA,113,2082.0,519427,4526,8305713,121017
2020-08-03,NY,2,136.0,0,545,6082774,51839
2020-08-03,CA,32,2069.0,514901,5739,8184696,148721
2020-08-02,NY,6,143.0,0,531,6030935,58961
2020-08-02,CA,132,2119.0,509162,9032,8035975,149388
2020-08-01,NY,14,147.0,0,753,5971974,82737
2020-08-01,CA,219,2120.0,500130,6542,7886587,75546
2020-07-31,NY,5,140.0,0,644,5889237,68869
2020-07-31,CA,96,2163.0,493588,8086,7811041,177201
2020-07-30,NY,13,142.0,0,777,5820368,73546
2020-07-30,CA,194,2220.0,485502,10197,7633840,116374
2020-07-29,NY,6,154.0,0,715,5746822,62276
2020-07-29,CA,197,2209.0,475305,8755,7517466,99600
2020-07-28,NY,9,152.0,0,534,5684546,57397
2020-07-28,CA,73,2198.0,466550,6000,7417866,121288
2020-07-27,NY,11,149.0,0,608,5627149,57270
2020-07-27,CA,29,2284.0,460550,6891,7296578,128439
2020-07-26,NY,3,155.0,0,536,5569879,53568
2020-07-26,CA,79,2284.0,453659,8259,7168139,120784
2020-07-25,NY,13,149.0,0,750,5516311,71466
2020-07-25,CA,151,2284.0,445400,10066,7047355,131479
2020-07-24,NY,9,156.0,0,753,5444845,76507
2020-07-24,CA,159,2284.0,435334,9718,6915876,137572
2020-07-23,NY,13,160.0,0,811,5368338,69698
2020-07-23,CA,157,2284.0,425616,12040,6778304,113885
2020-07-22,NY,10,179.0,0,705,5298640,67659
2020-07-22,CA,115,2284.0,413576,12807,6664419,127487
2020-07-21,NY,2,163.0,0,855,5230981,66169
2020-07-21,CA,61,2226.0,400769,9231,6536932,122611
2020-07-20,NY,8,158.0,0,519,5164812,49342
2020-07-20,CA,9,2157.0,391538,6846,6414321,127469
2020-07-19,NY,13,160.0,0,502,5115470,46204
2020-07-19,CA,90,2107.0,384692,9329,6286852,119634
2020-07-18,NY,11,172.0,0,754,5069266,69817
2020-07-18,CA,120,2125.0,375363,9199,6167218,123119
2020-07-17,NY,10,179.0,0,776,4999449,78239
2020-07-17,CA,130,2153.0,366164,9986,6044099,128591
2020-07-16,NY,11,165.0,0,769,4921210,72685
2020-07-16,CA,118,2120.0,356178,8544,5915508,122232
2020-07-15,NY,9,165.0,0,831,4848525,63598
2020-07-15,CA,140,2110.0,347634,11126,5793276,118321
2020-07-14,NY,5,167.0,0,912,4784927,60045
2020-07-14,CA,47,2083.0,336508,7346,5674955,130590
2020-07-13,NY,10,175.0,0,557,4724882,51687
2020-07-13,CA,23,2021.0,329162,8358,5544365,137766
2020-07-12,NY,5,174.0,0,677,4673195,62418
2020-07-12,CA,72,2020.0,320804,8460,5406599,130904
2020-07-11,NY,6,177.0,0,730,4610777,69203
2020-07-11,CA,94,2021.0,312344,8047,5275695,99958
2020-07-10,NY,9,178.0,0,786,4541574,73558
2020-07-10,CA,140,2005.0,304297,7798,5175737,97303
2020-07-09,NY,15,173.0,0,584,4468016,65564
2020-07-09,CA,149,1957.0,296499,7031,5078434,82259
2020-07-08,NY,20,166.0,0,692,4402452,57585
2020-07-08,CA,114,1976.0,289468,11694,4996175,99805
2020-07-07,NY,11,160.0,0,588,4344867,56736
2020-07-07,CA,111,1984.0,277774,6090,4896370,103017
2020-07-06,NY,9,170.0,0,518,4288131,54328
2020-07-06,CA,6,1937.0,271684,5699,4793353,113215
2020-07-05,NY,8,178.0,0,533,4233803,63415
2020-07-05,CA,18,1907.0,265985,8597,4680138,127107
2020-07-04,NY,11,190.0,0,726,4170388,62403
2020-07-04,CA,50,1888.0,257388,9153,4553031,104855
2020-07-03,NY,8,188.0,0,918,4107985,66392
2020-07-03,CA,100,1871.0,248235,5688,4448176,109458
2020-07-02,NY,11,209.0,0,875,4041593,69945
2020-07-02,CA,73,1934.0,242547,6408,4338718,84542
2020-07-01,NY,11,226.0,0,625,3971648,56710
2020-07-01,CA,110,1859.0,236139,7407,4254176,87037
2020-06-30,NY,13,217.0,0,524,3914938,52025
2020-06-30,CA,44,1751.0,228732,9480,4167139,105447
2020-06-29,NY,7,216.0,0,391,3862913,46428
2020-06-29,CA,31,1686.0,219252,8009,4061692,105740
2020-06-28,NY,5,229.0,0,616,3816485,61906
2020-06-28,CA,33,1602.0,211243,4810,3955952,93642
2020-06-27,NY,16,230.0,0,703,3754579,73262
2020-06-27,CA,60,1562.0,206433,5972,3862310,90996
2020-06-26,NY,14,244.0,0,805,3681317,61723
2020-06-26,CA,79,1570.0,200461,4890,3771314,76969
2020-06-25,NY,18,270.0,0,749,3619594,67642
2020-06-25,CA,101,1523.0,195571,5349,3694345,101446
2020-06-24,NY,16,290.0,0,581,3551952,51144
2020-06-24,CA,52,1487.0,190222,7149,3592899,95970
2020-06-23,NY,27,302.0,0,597,3500808,48709
2020-06-23,CA,65,1421.0,183073,5019,3496929,85243
2020-06-22,NY,14,330.0,0,552,3452099,56780
2020-06-22,CA,20,1412.0,178054,4230,3411686,92430
2020-06-21,NY,15,332.0,0,664,3395319,67526
2020-06-21,CA,71,1366.0,173824,4515,3319256,84844
2020-06-20,NY,24,335.0,0,716,3327793,68830
2020-06-20,CA,64,1332.0,169309,3893,3234412,78710
2020-06-19,NY,25,359.0,0,796,3258963,79303
2020-06-19,CA,70,1329.0,165416,4317,3155702,81172
2020-06-18,NY,32,388.0,0,618,3179660,68541
2020-06-18,CA,82,1298.0,161099,4084,3074530,76542
2020-06-17,NY,21,431.0,0,567,3111119,59341
2020-06-17,CA,87,1318.0,157015,3455,2997988,60233
2020-06-16,NY,29,449.0,0,631,3051778,60568
2020-06-16,CA,32,1272.0,153560,2108,2937755,69573
2020-06-15,NY,28,470.0,0,620,2991210,56611
2020-06-15,CA,26,1270.0,151452,2597,2868182,66186
2020-06-14,NY,24,499.0,0,694,2934599,62359
2020-06-14,CA,74,1280.0,148855,3212,2801996,77603
2020-06-13,NY,32,517.0,0,916,2872240,70840
2020-06-13,CA,46,1313.0,145643,3660,2724393,62135
2020-06-12,NY,53,552.0,0,822,2801400,72395
2020-06-12,CA,62,1310.0,141983,2702,2662258,64611
2020-06-11,NY,38,581.0,0,736,2729005,60839
2020-06-11,CA,105,1325.0,139281,3090,2597647,56849
2020-06-10,NY,56,630.0,0,674,2668166,62297
2020-06-10,CA,79,1326.0,136191,2702,2540798,54553
2020-06-09,NY,49,663.0,0,683,2605869,49973
2020-06-09,CA,44,1345.0,133489,2170,2486245,55055
2020-06-08,NY,40,678.0,0,702,2555896,58054
2020-06-08,CA,27,1301.0,131319,2507,2431190,68972
2020-06-07,NY,47,704.0,0,781,2497842,60435
2020-06-07,CA,67,1288.0,128812,2796,2362218,53918
2020-06-06,NY,37,720.0,0,1108,2437407,77895
2020-06-06,CA,74,1315.0,126016,3115,2308300,69837
2020-06-05,NY,42,758.0,0,1075,2359512,66480
2020-06-05,CA,63,1333.0,122901,3094,2238463,55792
2020-06-04,NY,54,832.0,0,1048,2293032,63559
2020-06-04,CA,61,1279.0,119807,2120,2182671,51377
2020-06-03,NY,56,865.0,0,1045,2229473,61642
2020-06-03,CA,75,1313.0,117687,2377,2131294,59703
2020-06-02,NY,64,907.0,0,1329,2167831,54054
2020-06-02,CA,35,1286.0,115310,2304,2071591,59008
2020-06-01,NY,54,999.0,0,941,2113777,49952
2020-06-01,CA,38,1273.0,113006,2423,2012583,67735
2020-05-31,NY,57,1050.0,0,1110,2063825,58444
2020-05-31,CA,57,1324.0,110583,3705,1944848,56253
2020-05-30,NY,68,1124.0,0,1376,2005381,61251
2020-05-30,CA,88,1273.0,106878,2992,1888595,53117
2020-05-29,NY,58,1164.0,0,1551,1944130,67341
2020-05-29,CA,95,1328.0,103886,2189,1835478,44919
2020-05-28,NY,79,1219.0,0,1768,1876789,65245
2020-05-28,CA,89,1325.0,101697,2717,1790559,53665
2020-05-27,NY,79,1261.0,0,1129,1811544,37416
2020-05-27,CA,70,1407.0,98980,2247,1736894,40498
2020-05-26,NY,76,1273.0,0,1072,1774128,34679
2020-05-26,CA,19,1392.0,96733,2175,1696396,52294
2020-05-25,NY,97,1366.0,0,1249,1739449,39623
2020-05-25,CA,21,1301.0,94558,1848,1644102,61357
2020-05-24,NY,109,1406.0,0,1589,1699826,47765
2020-05-24,CA,66,1315.0,92710,2079,1582745,67439
2020-05-23,NY,87,1502.0,0,1772,1652061,51268
2020-05-23,CA,78,1312.0,90631,2187,1515306,48533
2020-05-22,NY,112,1581.0,0,1696,1600793,45738
2020-05-22,CA,88,1317.0,88444,2247,1466773,45646
2020-05-21,NY,107,1695.0,0,2088,1555055,49219
2020-05-21,CA,106,1310.0,86197,2140,1421127,41007
2020-05-20,NY,133,1761.0,0,1525,1505836,38097
2020-05-20,CA,102,1345.0,84057,2262,1380120,40804
2020-05-19,NY,114,1836.0,0,1474,1467739,28182
2020-05-19,CA,32,1307.0,81795,1365,1339316,46644
2020-05-18,NY,110,1908.0,0,1250,1439557,26161
2020-05-18,CA,41,1325.0,80430,1591,1292672,57429
2020-05-17,NY,141,1981.0,0,1889,1413396,34679
2020-05-17,CA,57,1293.0,78839,2046,1235243,56117
2020-05-16,NY,174,2077.0,0,2419,1378717,40669
2020-05-16,CA,96,1313.0,76793,1857,1179126,45220
2020-05-15,NY,134,2156.0,0,2762,1338048,39291
2020-05-15,CA,76,1324.0,74936,1772,1133906,29255
2020-05-14,NY,157,2223.0,0,2390,1298757,39850
2020-05-14,CA,98,1324.0,73164,2023,1104651,39059
2020-05-13,NY,168,2308.0,0,2176,1258907,33794
2020-05-13,CA,87,1314.0,71141,1759,1065592,32222
2020-05-12,NY,205,2375.0,0,1430,1225113,20463
2020-05-12,CA,77,1349.0,69382,1443,1033370,41473
2020-05-11,NY,162,2450.0,0,1660,1204650,21652
2020-05-11,CA,25,1329.0,67939,1259,991897,36233
2020-05-10,NY,207,2488.0,0,2273,1182998,29230
2020-05-10,CA,67,1328.0,66680,2119,955664,43094
2020-05-09,NY,226,2664.0,0,2715,1153768,32225
2020-05-09,CA,93,1349.0,64561,2049,912570,37298
2020-05-08,NY,217,2811.0,0,2938,1121543,31627
2020-05-08,CA,81,1342.0,62512,1898,875272,32398
2020-05-07,NY,951,2976.0,0,3491,1089916,33995
2020-05-07,CA,92,1374.0,60614,1799,842874,33838
2020-05-06,NY,232,3098.0,0,2786,1055921,27022
2020-05-06,CA,95,1415.0,58815,2603,809036,29134
2020-05-05,NY,230,3281.0,0,2239,1028899,21589
2020-05-05,CA,63,1388.0,56212,1275,779902,32028
2020-05-04,NY,226,3330.0,0,2538,1007310,21399
2020-05-04,CA,39,1464.0,54937,1321,747874,32123
2020-05-03,NY,280,3430.0,0,3438,985911,26894
2020-05-03,CA,44,1468.0,53616,1419,715751,30703
2020-05-02,NY,299,3501.0,0,4663,959017,31579
2020-05-02,CA,98,1433.0,52197,1755,685048,30063
2020-05-01,NY,289,3640.0,0,3942,927438,26802
2020-05-01,CA,91,1434.0,50442,1525,654985,29648
2020-04-30,NY,306,3769.0,0,4681,900636,28155
2020-04-30,CA,95,1473.0,48917,2417,625337,22198
2020-04-29,NY,377,3923.0,0,4585,872481,27487
2020-04-29,CA,78,1512.0,46500,1469,603139,25531
2020-04-28,NY,335,4071.0,0,3110,844994,18899
2020-04-28,CA,54,1485.0,45031,1567,577608,24199
2020-04-27,NY,337,4157.0,0,3951,826095,20745
2020-04-27,CA,45,1499.0,43464,1300,553409,27325
2020-04-26,NY,367,4284.0,0,5902,805350,27782
2020-04-26,CA,59,1473.0,42164,1027,526084,20049
2020-04-25,NY,437,4410.0,0,10553,777568,46912
2020-04-25,CA,89,1458.0,41137,1883,506035,11862
2020-04-24,NY,422,4540.0,0,8130,730656,34736
2020-04-24,CA,93,1521.0,39254,1885,494173,12076
2020-04-23,NY,438,4597.0,0,6244,695920,25938
2020-04-23,CA,115,1531.0,37369,1973,482097,16770
2020-04-22,NY,474,4690.0,0,5526,669982,20657
2020-04-22,CA,86,1551.0,35396,2135,465327,165227
2020-04-21,NY,481,4729.0,0,4178,649325,15464
2020-04-21,CA,60,1502.0,33261,2283,300100,9600
2020-04-20,NY,478,4814.0,0,4726,633861,16306
2020-04-20,CA,42,1480.0,30978,645,290500,9600
2020-04-19,NY,507,4878.0,0,6054,617555,21023
2020-04-19,CA,94,1457.0,30333,1370,280900,21234
2020-04-18,NY,540,4996.0,0,7090,596532,23309
2020-04-18,CA,87,1490.0,28963,1435,259666,8052
2020-04-17,NY,630,5039.0,0,7358,573223,22644
2020-04-17,CA,95,1484.0,27528,1346,251614,5214
2020-04-16,NY,606,5071.0,0,8505,550579,24567
2020-04-16,CA,69,1568.0,26182,1758,246400,29914
2020-04-15,NY,752,5205.0,0,11571,526012,26869
2020-04-15,CA,63,1175.0,24424,1086,216486,14278
2020-04-14,NY,778,5225.0,0,7177,499143,20786
2020-04-14,CA,71,1552.0,23338,990,202208,11326
2020-04-13,NY,671,5156.0,0,6337,478357,16756
2020-04-13,CA,36,1178.0,22348,554,190882,554
2020-04-12,NY,758,5198.0,0,8236,461601,20621
2020-04-12,CA,42,1539.0,21794,1179,190328,17109
2020-04-11,NY,783,5009.0,0,9946,440980,23095
2020-04-11,CA,68,1591.0,20615,1143,173219,8356
2020-04-10,NY,777,4908.0,0,10575,417885,26336
2020-04-10,CA,49,1145.0,19472,1163,164863,1363
2020-04-09,NY,799,4925.0,0,10621,391549,26396
2020-04-09,CA,50,1132.0,18309,1352,163500,19236
2020-04-08,NY,779,4841.0,0,10453,365153,25095
2020-04-08,CA,68,1154.0,16957,1092,144264,13035
2020-04-07,NY,731,4539.0,0,8174,340058,19247
2020-04-07,CA,31,1108.0,15865,1529,131229,13798
2020-04-06,NY,599,4504.0,0,8658,320811,18531
2020-04-06,CA,24,1085.0,14336,898,117431,898
2020-04-05,NY,594,4376.0,0,8327,302280,18659
2020-04-05,CA,43,1040.0,13438,1412,116533,2833
2020-04-04,NY,630,4126.0,0,10841,283621,23101
2020-04-04,CA,39,1008.0,12026,1325,113700,78400
2020-04-03,NY,562,3731.0,0,10482,260520,21555
2020-04-03,CA,34,901.0,10701,1510,35300,2300
2020-04-02,NY,432,3396.0,0,8669,238965,18031
2020-04-02,CA,32,816.0,9191,1036,33000,3073
2020-04-01,NY,391,3022.0,0,7917,220934,15701
2020-04-01,CA,18,774.0,8155,673,29927,673
2020-03-31,NY,332,2710.0,0,9298,205233,18648
2020-03-31,CA,20,657.0,7482,1035,29254,2258
2020-03-30,NY,253,2352.0,0,6984,186585,14115
2020-03-30,CA,10,597.0,6447,739,26996,739
2020-03-29,NY,237,2037.0,0,7195,172470,16401
2020-03-29,CA,22,410.0,5708,1065,26257,1065
2020-03-28,NY,209,1755.0,0,7681,156069,17444
2020-03-28,CA,23,410.0,4643,764,25192,3933
2020-03-27,NY,134,1583.0,0,7379,138625,16315
2020-03-27,CA,13,200.0,3879,873,21259,873
2020-03-26,NY,100,1290.0,0,6448,122310,18651
2020-03-26,CA,12,0.0,3006,651,20386,2110
2020-03-25,NY,75,0.0,0,5145,103659,12142
2020-03-25,CA,13,0.0,2355,253,18276,2722
2020-03-24,NY,96,0.0,0,4790,91517,12952
2020-03-24,CA,13,0.0,2102,369,15554,1254
2020-03-23,NY,0,0.0,0,5707,78565,16812
2020-03-23,CA,0,0.0,1733,197,14300,1460
2020-03-22,NY,70,0.0,0,4812,61753,16029
2020-03-22,CA,3,0.0,1536,257,12840,312
2020-03-21,NY,9,0.0,0,3254,45724,13087
2020-03-21,CA,4,0.0,1279,216,12528,1041
2020-03-20,NY,23,0.0,0,2950,32637,10124
2020-03-20,CA,2,0.0,1063,139,11487,1776
2020-03-19,NY,0,0.0,0,1769,22513,7698
2020-03-19,CA,5,0.0,924,313,9711,1119
2020-03-18,NY,5,0.0,0,1009,14815,4553
2020-03-18,CA,2,0.0,611,128,8592,128
2020-03-17,NY,0,0.0,0,432,10262,2907
2020-03-17,CA,5,0.0,483,148,8464,148
2020-03-16,NY,4,0.0,0,294,7355,1936
2020-03-16,CA,1,0.0,335,42,8316,7107
2020-03-15,NY,3,0.0,0,131,5419,1293
2020-03-15,CA,0,0.0,293,41,1209,41
2020-03-14,NY,0,0.0,0,164,4126,1290
2020-03-14,CA,1,0.0,252,50,1168,50
2020-03-13,NY,0,0.0,0,102,2836,762
2020-03-13,CA,0,0.0,202,0,1118,0
2020-03-12,NY,0,0.0,0,56,2074,553
2020-03-12,CA,4,0.0,202,45,1118,45
2020-03-11,NY,0,0.0,0,44,1521,425
2020-03-11,CA,0,0.0,157,24,1073,250
2020-03-10,NY,0,0.0,0,63,1096,401
2020-03-10,CA,0,0.0,133,19,823,19
2020-03-09,NY,0,0.0,0,28,695,307
2020-03-09,CA,0,0.0,114,26,804,254
2020-03-08,NY,0,0.0,0,24,388,200
2020-03-08,CA,0,0.0,88,19,550,19
2020-03-07,NY,0,0.0,0,11,188,66
2020-03-07,CA,0,0.0,69,9,531,9
2020-03-06,NY,0,0.0,0,22,122,92
2020-03-06,CA,0,0.0,60,7,522,7
2020-03-05,NY,0,0.0,0,2,30,20
2020-03-05,CA,0,0.0,53,0,515,0
2020-03-04,NY,0,0.0,0,0,10,9
2020-03-04,CA,0,0.0,53,0,515,0
2020-03-03,NY,0,0.0,0,1,1,1
2020-03-02,NY,0,0.0,0,0,0,0
